steam_app_id,name,short_description,detailed_description,release_date,price_usd,is_free,metacritic_score,positive_reviews,negative_reviews,required_age,website,header_image,windows,mac,linux,genres,tags,categories,developers,publishers
100001,Steam Seed Game 1,Procedurally generated seed game number 1.,This is a deterministic sample game row 1 for coursework testing.,2019-05-06,0,true,87,72147,16054,0,https://example.com/game/100001,https://cdn.example.com/images/100001.jpg,true,true,true,RPG,Story Rich,Cloud Saves|Single-player|Steam Achievements,Nova Labs|Valve,EA
100002,Steam Seed Game 2,Procedurally generated seed game number 2.,This is a deterministic sample game row 2 for coursework testing.,2009-06-17,42.97,false,66,57837,29444,0,https://example.com/game/100002,https://cdn.example.com/images/100002.jpg,true,false,false,Action|RPG|Strategy,Co-op|Open World|Sandbox|Singleplayer,Cloud Saves|Single-player,Ubisoft|Valve,Indie Publish|Ubisoft
100003,Steam Seed Game 3,Procedurally generated seed game number 3.,This is a deterministic sample game row 3 for coursework testing.,2025-09-08,34.46,false,93,164844,40540,0,https://example.com/game/100003,https://cdn.example.com/images/100003.jpg,true,true,false,RPG|Simulation,Multiplayer,Online Co-op|Single-player|Steam Achievements,Nova Labs,Paradox
100004,Steam Seed Game 4,Procedurally generated seed game number 4.,This is a deterministic sample game row 4 for coursework testing.,2008-08-25,14.93,false,57,184027,44801,0,https://example.com/game/100004,https://cdn.example.com/images/100004.jpg,true,true,true,Action|RPG|Simulation,Pixel Graphics|Singleplayer,Online Co-op|Steam Achievements,Nova Labs|Valve,Valve
100005,Steam Seed Game 5,Procedurally generated seed game number 5.,This is a deterministic sample game row 5 for coursework testing.,2025-06-25,52.94,false,60,55788,42959,16,https://example.com/game/100005,https://cdn.example.com/images/100005.jpg,true,true,false,Adventure|Indie,Co-op|Open World|Sandbox|Singleplayer,Cloud Saves|Controller Support|Steam Achievements,Bethesda|Indie Forge,EA|Global Games
100006,Steam Seed Game 6,Procedurally generated seed game number 6.,This is a deterministic sample game row 6 for coursework testing.,2024-04-25,0,true,80,41988,44601,12,https://example.com/game/100006,https://cdn.example.com/images/100006.jpg,true,true,true,Action|Simulation,Co-op|Open World|Pixel Graphics|Sandbox,Cloud Saves|Single-player|Steam Achievements,Nova Labs|PlayFrame,Ubisoft|Valve
100007,Steam Seed Game 7,Procedurally generated seed game number 7.,This is a deterministic sample game row 7 for coursework testing.,2021-03-13,18.0,false,72,199793,11713,0,https://example.com/game/100007,https://cdn.example.com/images/100007.jpg,true,false,false,Action|Indie|Strategy,Open World|Singleplayer,Cloud Saves,Indie Forge,Paradox|Valve
100008,Steam Seed Game 8,Procedurally generated seed game number 8.,This is a deterministic sample game row 8 for coursework testing.,2023-08-28,16.64,false,55,148779,5166,18,https://example.com/game/100008,https://cdn.example.com/images/100008.jpg,true,false,false,Indie,Co-op|Multiplayer|Sandbox|Singleplayer,Controller Support,Ubisoft,EA|Indie Publish
100009,Steam Seed Game 9,Procedurally generated seed game number 9.,This is a deterministic sample game row 9 for coursework testing.,2013-12-13,40.03,false,68,135729,29593,0,https://example.com/game/100009,https://cdn.example.com/images/100009.jpg,true,false,true,RPG,Multiplayer|Open World,Cloud Saves,Indie Forge,Valve
100010,Steam Seed Game 10,Procedurally generated seed game number 10.,This is a deterministic sample game row 10 for coursework testing.,2006-07-07,51.99,false,44,134832,15602,0,https://example.com/game/100010,https://cdn.example.com/images/100010.jpg,true,false,false,Adventure|Indie,Co-op|Singleplayer,Cloud Saves|Controller Support|Single-player,Bethesda|Nova Labs,Valve
100011,Steam Seed Game 11,Procedurally generated seed game number 11.,This is a deterministic sample game row 11 for coursework testing.,2014-03-22,44.55,false,83,171349,42353,12,https://example.com/game/100011,https://cdn.example.com/images/100011.jpg,true,true,false,Action,Multiplayer|Open World|Singleplayer|Story Rich,Online Co-op,Bethesda|CD Projekt Red,Ubisoft
100012,Steam Seed Game 12,Procedurally generated seed game number 12.,This is a deterministic sample game row 12 for coursework testing.,2014-12-10,51.78,false,46,13311,42743,0,https://example.com/game/100012,https://cdn.example.com/images/100012.jpg,true,false,false,Action|Casual|Indie,Pixel Graphics|Singleplayer,Controller Support|Online Co-op,CD Projekt Red|Valve,Paradox|Valve
